1944, 2015-11-20, Emily, Turner, 123 Elm Street, St. John's, NL, A1A 1A1, 7095551234, 3, Yes, Yes, No, Full, $2172.50
1945, 2016-04-02, Liam, Johnson, 456 Maple Avenue, Toronto, ON, M4B 2B2, 4165557890, 2, Yes, No, No, Monthly, $1520.75
1946, 2017-09-15, Ava, Williams, 789 Oak Street, Vancouver, BC, V6B 3C3, 6047771234, 1, No, No, No, Monthly, $869.00
1947, 2014-12-08, Noah, Davis, 101 Elm Drive, Calgary, AB, T2W 4F4, 4038884567, 4, Yes, Yes, Yes, Full, $2824.25
1948, 2019-06-25, Sophia, Brown, 222 Cedar Lane, Montreal, QC, H3A 5G5, 5149999876, 2, No, Yes, No, Full, $1520.75
1949, 2013-10-12, Lucas, Martinez, 333 Pine Road, Ottawa, ON, K1P 8H8, 6134445678, 3, No, No, No, Full, $2172.50
1950, 2020-02-18, Olivia, Wilson, 444 Birch Street, Halifax, NS, B3H 9Z9, 9022223333, 2, No, Yes, Yes, Full, $1520.75
1951, 2018-08-05, Ethan, Taylor, 555 Spruce Avenue, Winnipeg, MB, R3B 7K7, 2046669999, 5, Yes, No, Yes, Full, $3476.00
1952, 2016-01-30, Emma, Anderson, 666 Cherry Lane, Edmonton, AB, T5J 1V1, 7807778888, 1, Yes, No, No, Full, $869.00
1953, 2022-03-14, Jackson, Thomas, 777 Willow Crescent, Quebec City, QC, G1R 3P3, 4185556666, 3, No, No, No, Full, $2172.50
1954, 2015-08-22, Isabella, White, 888 Magnolia Street, Saskatoon, SK, S7K 2H2, 3069991111, 2, No, Yes, No, Monthly, $1520.75
1955, 2017-12-01, Samuel, Garcia, 999 Oakwood Drive, Victoria, BC, V8W 5L5, 2507772222, 1, No, No, No, Monthly, $869.00
